name,type,serve_with,category,style,course,image,cuisine
Malai Boti,nonveg,roti,bbq,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Pakistani_Food_Beef_Kabobs.jpg/960px-Pakistani_Food_Beef_Kabobs.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Bihari Kebab,nonveg,roti,bbq,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Pakistani_Food_Beef_Kabobs.jpg/960px-Pakistani_Food_Beef_Kabobs.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Reshmi Kebab,nonveg,roti,bbq,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Pakistani_Food_Beef_Kabobs.jpg/960px-Pakistani_Food_Beef_Kabobs.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chapli Kebab,nonveg,roti,bbq,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Chapli_Kebab.jpg/960px-Chapli_Kebab.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Grilled Fish,nonveg,roti,bbq,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Fish Curry,nonveg,both,curry,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Fried Fish,nonveg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/Fish_and_chips.jpg/960px-Fish_and_chips.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Shrimp Curry,nonveg,both,curry,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Egg Curry,nonveg,both,curry,light,main,https://upload.wikimedia.org/wikipedia/commons/1/19/Egg_curry.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Omelette,nonveg,roti,quick,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Gorgonzola_%2B_Bacon_Omelette_%40_Omelegg_%40_Amsterdam_%2816600947041%29.jpg/960px-Gorgonzola_%2B_Bacon_Omelette_%40_Omelegg_%40_Amsterdam_%2816600947041%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Egg Bhurji,nonveg,roti,quick,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Biryani,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Mutton Biryani,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
