name,type,serve_with,category,style,course,image,cuisine
Peshawari Charsi Tikka,nonveg,roti,bbq,light,side,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Beef Paya,nonveg,both,specialty,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Paya_Curry.JPG/960px-Paya_Curry.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Manchurian,nonveg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Egg Fried Rice,nonveg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Chicken Chow Mein,nonveg,none,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Vegetable Chow Mein,veg,none,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Kung Pao Chicken,nonveg,rice,chinese,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Sweet and Sour Chicken,nonveg,rice,chinese,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Szechuan Chicken,nonveg,rice,chinese,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Beef Chili Dry,nonveg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Pakistani_Food_Beef_Kabobs.jpg/960px-Pakistani_Food_Beef_Kabobs.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Chicken Chili Dry,nonveg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Hot and Sour Soup,nonveg,none,chinese,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Paya_Curry.JPG/960px-Paya_Curry.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Chicken Corn Soup,nonveg,none,chinese,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Paya_Curry.JPG/960px-Paya_Curry.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Chinese Spring Rolls,veg,none,chinese,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Samosas%2C_snack_food_at_Wikipedia%27s_16th_Birthday_celebration_in_Chittagong_%2801%29.jpg/960px-Samosas%2C_snack_food_at_Wikipedia%27s_16th_Birthday_celebration_in_Chittagong_%2801%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Vegetable Fried Rice,veg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Dynamite Chicken,nonveg,none,chinese,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Cutlet.jpg/960px-Cutlet.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Black Pepper Chicken,nonveg,rice,chinese,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,chinese
Grilled Chicken Steak,nonveg,none,continental,light,main,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,continental
Beef Tenderloin Steak,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Pakistani_Food_Beef_Kabobs.jpg/960px-Pakistani_Food_Beef_Kabobs.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Chicken Alfredo Pasta,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/Chicken_Korma.JPG/960px-Chicken_Korma.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Penne Arrabbiata,veg,none,continental,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Beef Lasagna,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Chapli_Kebab.jpg/960px-Chapli_Kebab.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Classic Beef Burger,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Chapli_Kebab.jpg/960px-Chapli_Kebab.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Crispy Zinger Burger,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Cutlet.jpg/960px-Cutlet.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Club Sandwich,nonveg,none,continental,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/Shawarma_2.jpg/960px-Shawarma_2.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Caesar Salad with Grilled Chicken,nonveg,none,continental,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Palakpaneer_Rayagada_Odisha_0009.jpg/960px-Palakpaneer_Rayagada_Odisha_0009.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Fish and Chips,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/Fish_and_chips.jpg/960px-Fish_and_chips.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Creamy Mushroom Pasta,veg,none,continental,rich,main,https://upload.wikimedia.org/wikipedia/commons/f/f8/Dal_Makhani.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,continental
Shepherd's Pie,nonveg,none,continental,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Macaroni and Cheese,veg,none,continental,rich,main,https://upload.wikimedia.org/wikipedia/commons/f/f8/Dal_Makhani.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,continental
Grilled Chicken Salad,nonveg,none,diet,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Palakpaneer_Rayagada_Odisha_0009.jpg/960px-Palakpaneer_Rayagada_Odisha_0009.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,diet
Steamed Lemon Herb Fish,nonveg,none,diet,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,diet
Boiled Egg & Chickpea Salad,nonveg,none,diet,light,main,https://upload.wikimedia.org/wikipedia/commons/1/19/Egg_curry.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,diet
Clear Chicken & Vegetable Soup,nonveg,none,diet,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Paya_Curry.JPG/960px-Paya_Curry.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,diet
Steamed Vegetables with Paneer,veg,none,diet,light,main,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,diet
Quinoa Vegetable Bowl,veg,none,diet,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,diet
